######## Translation table for ROC # 17
######## Tue Feb  3 20:05:17 EST 1998
######## By uid=1990(serov) gid=146(clas)
######## Version # 1
#######################################################
#######################################################
##bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
REF     0       17      4       0       310     0       17      4       1190    0
REF     0       17      5       0       310     0       17      5       1190    0
REF     0       17      6       0       310     0       17      6       1190    0
REF     0       17      7       0       310     0       17      7       1190    0
#######################################################
#######################################################
##bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	1	95	0	710	0	17	6	1190	94
TAGE	1	1	96	0	710	0	17	6	1190	95
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	1	97	0	710	0	17	6	1190	96
TAGE	1	1	98	0	710	0	17	6	1190	97
TAGE	1	1	99	0	710	0	17	6	1190	98
TAGE	1	1	100	0	710	0	17	6	1190	99
TAGE	1	1	101	0	710	0	17	6	1190	100
TAGE	1	1	102	0	710	0	17	6	1190	101
TAGE	1	1	103	0	710	0	17	6	1190	102
TAGE	1	1	104	0	710	0	17	6	1190	103
TAGE	1	1	105	0	710	0	17	6	1190	104
TAGE	1	1	106	0	710	0	17	6	1190	105
TAGE	1	1	107	0	710	0	17	6	1190	106
TAGE	1	1	108	0	710	0	17	6	1190	107
TAGE	1	1	109	0	710	0	17	6	1190	108
TAGE	1	1	110	0	710	0	17	6	1190	109
TAGE	1	1	111	0	710	0	17	6	1190	110
TAGE	1	1	112	0	710	0	17	6	1190	111
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	1	113	0	710	0	17	6	1190	112
TAGE	1	1	114	0	710	0	17	6	1190	113
TAGE	1	1	115	0	710	0	17	6	1190	114
TAGE	1	1	116	0	710	0	17	6	1190	115
TAGE	1	1	117	0	710	0	17	6	1190	116
TAGE	1	1	118	0	710	0	17	6	1190	117
TAGE	1	1	119	0	710	0	17	6	1190	118
TAGE	1	1	120	0	710	0	17	6	1190	119
TAGE	1	1	121	0	710	0	17	6	1190	120
TAGE	1	1	122	0	710	0	17	6	1190	121
TAGE	1	1	123	0	710	0	17	6	1190	122
TAGE	1	1	124	0	710	0	17	6	1190	123
TAGE	1	1	125	0	710	0	17	6	1190	124
TAGE	1	1	126	0	710	0	17	6	1190	125
TAGE	1	1	127	0	710	0	17	6	1190	126
TAGE	1	1	128	0	710	0	17	6	1190	127
#######################################################################################
################
######### PS ###
################
### pf1-pf16
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	4	1	0	710	0	17	7	1190	64
TAGE	1	4	2	0	710	0	17	7	1190	65
TAGE	1	4	3	0	710	0	17	7	1190	66
TAGE	1	4	4	0	710	0	17	7	1190	67
TAGE	1	4	5	0	710	0	17	7	1190	68
TAGE	1	4	6	0	710	0	17	7	1190	69
TAGE	1	4	7	0	710	0	17	7	1190	70
TAGE	1	4	8	0	710	0	17	7	1190	71
TAGE	1	4	9	0	710	0	17	7	1190	72
TAGE	1	4	10	0	710	0	17	7	1190	73
TAGE	1	4	11	0	710	0	17	7	1190	74
TAGE	1	4	12	0	710	0	17	7	1190	75
TAGE	1	4	13	0	710	0	17	7	1190	76
TAGE	1	4	14	0	710	0	17	7	1190	77
TAGE	1	4	15	0	710	0	17	7	1190	78
TAGE	1	4	16	0	710	0	17	7	1190	79
### will be used by PS in future
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	4	106	0	710	0	17	7	1190	80
TAGE	1	4	102	0	710	0	17	7	1190	81
TAGE	1	4	103	0	710	0	17	7	1190	82
TAGE	1	4	104	0	710	0	17	7	1190	83
TAGE	1	4	105	0	710	0	17	7	1190	84
TAGE	1	4	101	0	710	0	17	7	1190	85
TAGE	1	4	107	0	710	0	17	7	1190	86
TAGE	1	4	108	0	710	0	17	7	1190	87
TAGE	1	4	109	0	710	0	17	7	1190	88
TAGE	1	4	110	0	710	0	17	7	1190	89
TAGE	1	4	111	0	710	0	17	7	1190	90
TAGE	1	4	112	0	710	0	17	7	1190	91
TAGE	1	4	113	0	710	0	17	7	1190	92
TAGE	1	4	114	0	710	0	17	7	1190	93
TAGE	1	4	115	0	710	0	17	7	1190	94
TAGE	1	4	116	0	710	0	17	7	1190	95
### pf17-pf32
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	4	17	0	710	0	17	7	1190	96
TAGE	1	4	18	0	710	0	17	7	1190	97
TAGE	1	4	19	0	710	0	17	7	1190	98
TAGE	1	4	20	0	710	0	17	7	1190	99
TAGE	1	4	21	0	710	0	17	7	1190	100
TAGE	1	4	22	0	710	0	17	7	1190	101
TAGE	1	4	23	0	710	0	17	7	1190	102
TAGE	1	4	24	0	710	0	17	7	1190	103
TAGE	1	4	25	0	710	0	17	7	1190	104
TAGE	1	4	26	0	710	0	17	7	1190	105
TAGE	1	4	27	0	710	0	17	7	1190	106
TAGE	1	4	28	0	710	0	17	7	1190	107
TAGE	1	4	29	0	710	0	17	7	1190	108
TAGE	1	4	30	0	710	0	17	7	1190	109
TAGE	1	4	31	0	710	0	17	7	1190	110
TAGE	1	4	32	0	710	0	17	7	1190	111
### pb13-pb28
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	4	33	0	710	0	17	7	1190	112
TAGE	1	4	34	0	710	0	17	7	1190	113
TAGE	1	4	35	0	710	0	17	7	1190	114
